"age","gender","income","house","store_exp","online_exp","store_trans","online_trans","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","segment"
57.2557744665355,"Female",120963.400958119,"Yes",529.134363087558,303.512474550009,2,2,4,2,1,2,1,4,1,4,2,4,"Price"
63.0037435509897,"Female",122008.104949511,"Yes",478.005780681606,109.529710262832,4,2,4,1,1,2,1,4,1,3,1,4,"Price"
59.8307312550011,"Male",114202.295293891,"Yes",490.810731245055,279.249581915219,7,2,5,2,1,2,1,4,1,3,1,3,"Price"
60.8899354653827,"Male",113616.337078331,"Yes",347.809003687669,141.669751964067,10,2,5,2,1,3,1,4,1,4,2,3,"Price"
51.6255874347969,"Male",124252.552786554,"Yes",379.625939684908,112.237176970802,4,4,4,1,1,3,1,4,1,4,2,4,"Price"
59.1517787675053,"Male",107661.456129803,"Yes",338.315403357419,195.687012966072,4,5,4,2,1,2,1,3,1,3,1,3,"Price"
57.7094735168368,"Male",120483.275982419,"Yes",482.544476427835,284.536307985481,5,3,4,1,1,2,1,3,1,3,1,4,"Price"
57.9449701962542,"Male",110542.048865884,"Yes",340.736813070686,135.255632576376,11,5,5,2,1,3,1,3,1,4,2,3,"Price"
61.1012218516531,"Female",132060.533319097,"Yes",608.231048304648,142.550270053796,6,1,4,1,1,2,1,3,1,3,1,3,"Price"
60.5489905462545,"Male",105048.773604386,"Yes",470.31903306811,163.466343881728,12,1,4,2,1,3,1,4,1,4,1,4,"Price"
58.7044482951591,"Male",107196.735410644,"Yes",366.639252024867,170.133299877846,5,4,4,1,1,3,1,3,1,3,2,4,"Price"
59.1551580887343,"Male",121699.34166022,"Yes",674.882891010605,310.265694169159,6,2,4,1,1,3,1,4,1,3,1,3,"Price"
64.0173271618793,"Male",119019.962183982,"Yes",613.949036995952,160.846319956896,7,4,5,1,1,3,1,3,1,4,2,3,"Price"
57.2832300049863,"Female",113845.429221478,"Yes",737.049725215367,224.532247070345,7,3,4,2,1,3,1,3,1,3,1,4,"Price"
64.7847578881087,"Male",114539.40474381,"Yes",402.490100032941,241.833868313978,5,5,4,2,1,2,1,4,1,3,1,4,"Price"
61.0015063669921,"Female",124106.299908702,"Yes",615.056155337197,238.09808494608,5,1,5,2,1,2,1,4,1,4,1,4,"Price"
57.368722943,"Female",133078.165457638,"Yes",429.422428309762,262.657856749228,5,3,5,2,1,2,1,3,1,4,1,3,"Price"
63.1234798907418,"Male",115708.654854258,"Yes",552.576905541981,187.524025559338,5,2,5,2,1,3,1,3,1,4,2,4,"Price"
57.8943990332,"Female",113211.044997831,"No",540.277565996518,254.580146500323,7,2,4,2,1,3,1,4,1,4,2,4,"Price"
57.9043809394582,"Female",129773.873955748,"No",384.337769578302,311.029425764412,4,2,5,2,1,2,1,3,1,4,2,4,"Price"
58.7425736774606,"Male",123229.739851261,"Yes",372.408053042586,296.827096338252,11,2,5,1,1,3,1,3,1,3,1,3,"Price"
58.0357398727234,"Male",124356.747675679,"Yes",535.483799097601,205.543546865691,7,3,4,2,1,2,1,4,1,3,2,3,"Price"
59.0253379150232,"Female",123116.843986944,"Yes",481.251066683575,157.288396243102,6,1,5,2,1,2,1,3,1,4,1,3,"Price"
61.7860688585008,"Female",116622.653655269,"Yes",546.156421485347,161.231923649114,8,3,5,1,1,2,1,3,1,4,2,4,"Price"
60.5390689362948,"Female",121867.764698911,"Yes",411.087302831927,123.776560194151,11,3,4,1,1,3,1,3,1,4,1,4,"Price"
56.9895591816394,"Male",112104.693165078,"Yes",492.682006166957,128.016694706763,7,1,5,1,1,3,1,4,1,4,2,3,"Price"
58.0592452453643,"Male",127886.615015107,"Yes",519.296952645586,142.625336481133,6,2,4,1,1,3,1,4,1,3,2,4,"Price"
64.0425684199288,"Male",115925.343557869,"Yes",627.706009748609,240.977016467979,4,4,5,1,1,2,1,3,1,3,2,4,"Price"
63.3935398266972,"Female",120961.281061154,"Yes",511.062333930777,203.486730253928,4,3,5,1,1,2,1,4,1,3,1,3,"Price"
56.7715592060488,"Female",112620.903321826,"Yes",699.319308087541,223.442782439466,9,2,5,2,1,2,1,3,1,4,2,4,"Price"
57.0198789032248,"Male",114692.483020756,"Yes",530.591982187361,217.920611721542,4,2,4,2,1,3,1,4,1,3,1,4,"Price"
59.7455423531431,"Female",121773.147531009,"Yes",532.121234399098,176.875676741611,2,3,5,2,1,2,1,4,1,4,1,3,"Price"
63.6899319704536,"Male",126902.769054663,"Yes",601.647804750477,257.844353624597,6,4,4,1,1,3,1,4,1,4,2,3,"Price"
55.4946111625655,"Male",128254.177825016,"Yes",595.251962141104,248.063400847369,8,3,4,1,1,2,1,3,1,3,2,3,"Price"
60.1599215652172,"Female",123860.009337849,"Yes",403.591241116802,236.964808403183,9,4,4,2,1,3,1,3,1,4,1,4,"Price"
64.0598311061445,"Female",118426.836504823,"Yes",611.700918165349,102.236060513804,6,4,5,2,1,2,1,4,1,4,1,3,"Price"
57.4844193411501,"Female",118169.834210682,"Yes",482.663286956957,183.364108271084,6,2,4,2,1,3,1,3,1,3,1,4,"Price"
57.583252580321,"Female",119147.794610866,"Yes",412.891440686076,246.868637194065,6,5,5,1,1,3,1,3,1,3,1,3,"Price"
58.5103664657081,"Male",125844.413307831,"Yes",473.766473423819,261.668079975745,5,4,4,2,1,2,1,4,1,3,2,3,"Price"
55.5275438858966,"Male",128194.201923933,"Yes",595.695183669543,156.931388442715,6,2,4,1,1,2,1,4,1,4,2,3,"Price"
59.7695116604443,"Female",115885.907197464,"Yes",548.338602674099,186.497100391572,2,3,4,1,1,3,1,4,1,3,1,4,"Price"
61.3927416728995,"Male",112254.721679994,"Yes",597.229003276722,209.683325892409,5,1,5,1,1,3,1,4,1,4,2,3,"Price"
59.0689783666265,"Female",122338.217461937,"Yes",455.321626475076,205.156920582714,9,4,5,1,1,2,1,4,1,3,2,4,"Price"
58.1247454064725,"Female",114519.02000973,"Yes",493.517941343757,271.672324593723,4,5,4,1,1,3,1,4,1,4,1,3,"Price"
62.6278577640408,"Male",123459.371009595,"Yes",561.731392034034,209.228528977001,9,1,4,1,1,3,1,4,1,3,1,4,"Price"
59.16001875369,"Male",125625.524018258,"Yes",518.224018748594,261.313740064362,8,2,5,1,1,3,1,4,1,3,1,3,"Price"
56.1730787434687,"Male",100583.396370107,"Yes",633.028953268972,195.947919795158,11,3,5,1,1,3,1,4,1,3,2,4,"Price"
66.582660139961,"Male",123005.058633356,"Yes",510.25942818228,198.464472337779,9,4,5,2,1,3,1,3,1,3,1,3,"Price"
62.5108336619926,"Female",128606.093068785,"Yes",499.663817391443,244.049675487128,5,2,4,1,1,2,1,4,1,3,2,4,"Price"
54.8794331526278,"Male",114336.791157234,"Yes",518.000447803693,217.25179238737,6,2,4,1,1,2,1,3,1,3,2,3,"Price"
59.5240237667038,"Male",121889.057756178,"Yes",490.408359986102,120.946484680995,6,1,5,2,1,3,1,3,1,3,1,3,"Price"
57.3309396334374,"Female",125565.802226889,"Yes",506.220358547592,155.839888722987,5,7,4,1,1,2,1,4,1,3,2,4,"Price"
52.4540592022774,"Female",115346.982711422,"Yes",529.317309635229,193.477703650717,11,3,5,2,1,2,1,4,1,4,2,3,"Price"
56.6191749544945,"Male",111593.656511193,"Yes",567.704976394939,195.552567909872,4,4,4,1,1,2,1,4,1,3,1,4,"Price"
60.4688680737735,"Female",109520.318734899,"Yes",594.735052651513,212.071177862634,9,2,5,2,1,3,1,3,1,3,1,4,"Price"
55.1228461271507,"Female",113169.465135908,"Yes",321.203729968967,203.285805431084,6,4,5,1,1,2,1,4,1,3,2,3,"Price"
64.9022666060394,"Female",124792.36988653,"Yes",594.872932753646,190.805870905545,5,2,4,1,1,3,1,4,1,3,2,3,"Price"
56.2720407765285,"Male",117325.318799093,"Yes",525.755480567544,211.015615027189,7,4,5,1,1,2,1,4,1,3,2,4,"Price"
58.9968485063194,"Female",115892.798856506,"Yes",392.136985871421,226.471702839673,7,2,5,1,1,3,1,3,1,4,2,3,"Price"
58.8084012846655,"Male",121033.329681545,"Yes",451.610625434061,157.403698171939,7,4,4,1,1,2,1,3,1,3,1,3,"Price"
62.1170123680431,"Female",117473.993936298,"Yes",483.600133670656,213.190432265092,6,6,5,2,1,2,1,4,1,4,2,4,"Price"
62.0263117139818,"Female",119596.763872203,"Yes",697.4606638532,169.397322540405,4,5,4,2,1,2,1,4,1,3,2,3,"Price"
58.3533505837032,"Female",116507.083368783,"Yes",527.651113891335,192.620640037948,11,2,5,1,1,2,1,3,1,3,1,4,"Price"
58.3080009150884,"Male",125973.78914937,"Yes",350.492359342993,151.460337877958,9,3,5,2,1,2,1,4,1,3,1,4,"Price"
61.4313950814872,"Male",111027.082663989,"Yes",606.754837512769,278.530141513392,3,5,4,2,1,2,1,4,1,3,1,3,"Price"
64.1616927411114,"Male",110068.896628583,"Yes",689.560911238681,239.117894276587,8,2,4,1,1,3,1,3,1,3,2,4,"Price"
59.2011622907717,"Male",125333.921058272,"Yes",524.445347487279,190.49252404585,5,6,4,1,1,2,1,3,1,4,1,4,"Price"
56.6532610123326,"Female",115478.71830302,"Yes",438.560125892873,109.31066617178,7,7,5,1,1,3,1,4,1,4,1,4,"Price"
58.8122783340346,"Female",123631.634730256,"No",293.10301992151,253.485440320569,6,1,4,1,1,3,1,3,1,4,2,3,"Price"
62.4873561936725,"Male",116433.503665296,"Yes",360.095875399199,274.208421451346,10,3,5,2,1,2,1,4,1,3,1,3,"Price"
62.8815362776604,"Female",122793.695467136,"Yes",534.906341931659,181.328931786276,3,2,4,1,1,3,1,4,1,3,1,4,"Price"
61.0497347129017,"Female",127497.984136989,"Yes",644.061049067947,238.11601043906,1,5,5,2,1,2,1,3,1,4,1,3,"Price"
54.2640007608041,"Male",117858.763039125,"No",570.410927590752,262.009953523375,10,3,5,2,1,3,1,3,1,3,2,4,"Price"
59.9129536263338,"Male",133587.183728136,"Yes",624.570274821698,206.616824858365,4,2,5,1,1,2,1,3,1,4,1,3,"Price"
59.8883309817283,"Male",120541.921324948,"Yes",610.512499429194,171.43904069821,6,1,4,2,1,2,1,4,1,4,1,4,"Price"
62.417666629931,"Female",130151.217808338,"Yes",704.645085703742,225.270203844086,2,1,4,2,1,3,1,4,1,4,1,3,"Price"
60.6806340705875,"Male",125086.149273331,"Yes",388.216017897301,163.909084804262,5,3,5,2,1,3,1,3,1,4,2,4,"Price"
62.6881505709335,"Male",120719.405992181,"Yes",377.171836697374,259.298794404889,8,2,5,2,1,2,1,3,1,3,1,4,"Price"
59.9628955892344,"Male",121980.101037179,"Yes",723.76315481982,179.830239405027,8,2,5,2,1,3,1,4,1,3,1,3,"Price"
58.8924836313403,"Male",118652.543910135,"Yes",658.979986060644,208.689015550732,6,2,5,1,1,2,1,3,1,4,2,4,"Price"
61.6123181462049,"Male",121109.711927058,"Yes",358.173344451007,315.417780609629,4,5,5,1,1,3,1,4,1,3,2,3,"Price"
61.5737078208932,"Female",117816.766368306,"Yes",607.779586109388,207.017914650775,5,3,5,2,1,3,1,3,1,4,1,4,"Price"
61.6268675022372,"Male",108119.793690533,"Yes",409.444952249838,341.657504639132,7,5,4,2,1,3,1,3,1,4,2,4,"Price"
57.5380280899607,"Male",122832.863860603,"Yes",382.877287372486,171.647840000111,10,1,5,1,1,3,1,3,1,3,2,3,"Price"
55.5348880281033,"Female",127716.490479305,"Yes",494.943060224818,183.636122999183,7,3,5,2,1,2,1,4,1,3,2,4,"Price"
65.9855583590144,"Male",112897.862832206,"Yes",633.538829951488,202.92197050726,5,2,4,1,1,2,1,4,1,3,1,4,"Price"
58.3165426924863,"Male",106501.350377751,"Yes",528.371003420801,202.013400383433,8,4,4,2,1,3,1,4,1,4,1,4,"Price"
62.0111761392463,"Male",121172.129637032,"Yes",652.824925772909,185.314427246596,5,1,4,1,1,3,1,3,1,4,1,4,"Price"
